;Key;GENUS;SPECIES;FOUND;ORIGIN
127;1115;censored_genus;censored_species;0.0;censored_origin
128;1116;censored_genus;censored_species;;censored_origin
129;1117;censored_genus;censored_species;0.0;censored_origin
130;1118;censored_genus;censored_species;0.0;censored_origin
131;1119;censored_genus;censored_species;0.0;censored_origin
132;112;censored_genus;censored_species;0.0;censored_origin
133;1120;censored_genus;censored_species;0.0;censored_origin
134;1121;censored_genus;censored_species;0.0;censored_origin
135;1122;censored_genus;censored_species;0.0;censored_origin
136;1123;censored_genus;censored_species;0.0;censored_origin
137;1124;censored_genus;censored_species;;censored_origin
138;1125;censored_genus;censored_species;0.0;censored_origin
139;1126;censored_genus;censored_species;0.0;censored_origin
140;1127;censored_genus;censored_species;1.0;censored_origin
141;1128;censored_genus;censored_species;0.0;censored_origin
142;1129;censored_genus;censored_species;0.0;censored_origin
143;113;censored_genus;censored_species;1.0;censored_origin
144;1130;censored_genus;censored_species;1.0;censored_origin
145;1131;censored_genus;censored_species;0.0;censored_origin
146;1132;censored_genus;censored_species;0.0;censored_origin
147;1133;censored_genus;censored_species;0.0;censored_origin
148;1134;censored_genus;censored_species;1.0;censored_origin
149;1135;censored_genus;censored_species;0.0;censored_origin
150;1136;censored_genus;censored_species;1.0;censored_origin
151;1137;censored_genus;censored_species;0.0;censored_origin
152;1138;censored_genus;censored_species;;censored_origin
153;1139;censored_genus;censored_species;0.0;censored_origin
154;114;censored_genus;censored_species;0.0;censored_origin
155;1140;censored_genus;censored_species;0.0;censored_origin
156;1141;censored_genus;censored_species;1.0;censored_origin
157;1142;censored_genus;censored_species;0.0;censored_origin
158;1143;censored_genus;censored_species;;censored_origin
159;1144;censored_genus;censored_species;0.0;censored_origin
160;1145;censored_genus;censored_species;0.0;censored_origin
161;1146;censored_genus;censored_species;;censored_origin
162;1147;censored_genus;censored_species;1.0;censored_origin
163;1148;censored_genus;censored_species;1.0;censored_origin
164;1149;censored_genus;censored_species;0.0;censored_origin
165;115;censored_genus;censored_species;1.0;censored_origin
166;1150;censored_genus;censored_species;0.0;censored_origin
167;1151;censored_genus;censored_species;;censored_origin
168;1152;censored_genus;censored_species;0.0;censored_origin
169;1153;censored_genus;censored_species;0.0;censored_origin
170;1154;censored_genus;censored_species;0.0;censored_origin
171;1155;censored_genus;censored_species;0.0;censored_origin
172;1156;censored_genus;censored_species;;censored_origin
173;1157;censored_genus;censored_species;0.0;censored_origin
174;1158;censored_genus;censored_species;;censored_origin
175;1159;censored_genus;censored_species;;censored_origin
176;116;censored_genus;censored_species;0.0;censored_origin
177;1160;censored_genus;censored_species;1.0;censored_origin
178;1161;censored_genus;censored_species;;censored_origin
179;1162;censored_genus;censored_species;0.0;censored_origin
180;1163;censored_genus;censored_species;0.0;censored_origin
181;1164;censored_genus;censored_species;0.0;censored_origin
182;1165;censored_genus;censored_species;0.0;censored_origin
183;1166;censored_genus;censored_species;0.0;censored_origin
184;1167;censored_genus;censored_species;0.0;censored_origin
185;1168;censored_genus;censored_species;0.0;censored_origin
186;1169;censored_genus;censored_species;0.0;censored_origin
187;117;censored_genus;censored_species;0.0;censored_origin
188;1170;censored_genus;censored_species;1.0;censored_origin
189;1171;censored_genus;censored_species;0.0;censored_origin
190;1172;censored_genus;censored_species;0.0;censored_origin
191;1173;censored_genus;censored_species;0.0;censored_origin
192;1174;censored_genus;censored_species;0.0;censored_origin
193;1175;censored_genus;censored_species;0.0;censored_origin
194;1176;censored_genus;censored_species;0.0;censored_origin
195;1177;censored_genus;censored_species;;censored_origin
196;1178;censored_genus;censored_species;0.0;censored_origin
197;1179;censored_genus;censored_species;1.0;censored_origin
198;118;censored_genus;censored_species;1.0;censored_origin
199;1180;censored_genus;censored_species;0.0;censored_origin
200;1181;censored_genus;censored_species;0.0;censored_origin
201;1182;censored_genus;censored_species;;censored_origin
202;1183;censored_genus;censored_species;0.0;censored_origin
203;1184;censored_genus;censored_species;0.0;censored_origin
204;1185;censored_genus;censored_species;0.0;censored_origin
205;1186;censored_genus;censored_species;;censored_origin
206;1187;censored_genus;censored_species;;censored_origin
207;1188;censored_genus;censored_species;0.0;censored_origin
208;1189;censored_genus;censored_species;;censored_origin
209;119;censored_genus;censored_species;0.0;censored_origin
210;1190;censored_genus;censored_species;0.0;censored_origin
211;1191;censored_genus;censored_species;0.0;censored_origin
212;1192;censored_genus;censored_species;0.0;censored_origin
213;1193;censored_genus;censored_species;0.0;censored_origin
214;1194;censored_genus;censored_species;1.0;censored_origin
215;1195;censored_genus;censored_species;0.0;censored_origin
216;1196;censored_genus;censored_species;0.0;censored_origin
217;1197;censored_genus;censored_species;;censored_origin
218;1198;censored_genus;censored_species;1.0;censored_origin
219;1199;censored_genus;censored_species;;censored_origin
220;12;censored_genus;censored_species;;censored_origin
221;120;censored_genus;censored_species;0.0;censored_origin
222;1200;censored_genus;censored_species;0.0;censored_origin
223;12000;censored_genus;censored_species;;censored_origin
224;12001;censored_genus;censored_species;;censored_origin
225;1201;censored_genus;censored_species;0.0;censored_origin
226;1202;censored_genus;censored_species;0.0;censored_origin
227;1203;censored_genus;censored_species;0.0;censored_origin
228;1204;censored_genus;censored_species;;censored_origin
229;1205;censored_genus;censored_species;0.0;censored_origin
230;1206;censored_genus;censored_species;0.0;censored_origin
231;1208;censored_genus;censored_species;0.0;censored_origin
232;1209;censored_genus;censored_species;;censored_origin
233;121;censored_genus;censored_species;1.0;censored_origin
234;1210;censored_genus;censored_species;0.0;censored_origin
235;1211;censored_genus;censored_species;0.0;censored_origin
236;1212;censored_genus;censored_species;0.0;censored_origin
237;1213;censored_genus;censored_species;0.0;censored_origin
238;1214;censored_genus;censored_species;0.0;censored_origin
239;1215;censored_genus;censored_species;1.0;censored_origin
240;1216;censored_genus;censored_species;;censored_origin
241;1217;censored_genus;censored_species;0.0;censored_origin
242;1218;censored_genus;censored_species;0.0;censored_origin
243;1219;censored_genus;censored_species;1.0;censored_origin
244;122;censored_genus;censored_species;0.0;censored_origin
245;1220;censored_genus;censored_species;;censored_origin
246;1221;censored_genus;censored_species;0.0;censored_origin
247;1222;censored_genus;censored_species;0.0;censored_origin
248;1223;censored_genus;censored_species;0.0;censored_origin
249;1224;censored_genus;censored_species;0.0;censored_origin
250;1225;censored_genus;censored_species;0.0;censored_origin
251;1226;censored_genus;censored_species;1.0;censored_origin
252;1227;censored_genus;censored_species;0.0;censored_origin
253;1228;censored_genus;censored_species;;censored_origin
254;1229;censored_genus;censored_species;0.0;censored_origin
255;123;censored_genus;censored_species;1.0;censored_origin
256;1230;censored_genus;censored_species;;censored_origin
257;1231;censored_genus;censored_species;0.0;censored_origin
258;1232;censored_genus;censored_species;0.0;censored_origin
259;1233;censored_genus;censored_species;0.0;censored_origin
260;1234;censored_genus;censored_species;1.0;censored_origin
261;1235;censored_genus;censored_species;;censored_origin
262;1236;censored_genus;censored_species;;censored_origin
263;1237;censored_genus;censored_species;0.0;censored_origin
264;1238;censored_genus;censored_species;;censored_origin
265;1239;censored_genus;censored_species;0.0;censored_origin
266;124;censored_genus;censored_species;0.0;censored_origin
267;1240;censored_genus;censored_species;1.0;censored_origin
268;1241;censored_genus;censored_species;0.0;censored_origin
269;1242;censored_genus;censored_species;;censored_origin
270;1243;censored_genus;censored_species;0.0;censored_origin
271;1244;censored_genus;censored_species;0.0;censored_origin
272;1245;censored_genus;censored_species;0.0;censored_origin
273;1246;censored_genus;censored_species;0.0;censored_origin
274;1247;censored_genus;censored_species;1.0;censored_origin
275;1248;censored_genus;censored_species;;censored_origin
276;1249;censored_genus;censored_species;0.0;censored_origin
277;125;censored_genus;censored_species;1.0;censored_origin
278;1250;censored_genus;censored_species;0.0;censored_origin
279;1251;censored_genus;censored_species;0.0;censored_origin
280;1252;censored_genus;censored_species;1.0;censored_origin
281;1253;censored_genus;censored_species;0.0;censored_origin
282;1254;censored_genus;censored_species;1.0;censored_origin
283;1255;censored_genus;censored_species;0.0;censored_origin
284;1256;censored_genus;censored_species;0.0;censored_origin
285;1257;censored_genus;censored_species;;censored_origin
286;1258;censored_genus;censored_species;0.0;censored_origin
287;1259;censored_genus;censored_species;;censored_origin
288;126;censored_genus;censored_species;;censored_origin
289;1260;censored_genus;censored_species;;censored_origin
290;1261;censored_genus;censored_species;0.0;censored_origin
291;1262;censored_genus;censored_species;1.0;censored_origin
292;1263;censored_genus;censored_species;0.0;censored_origin
293;1264;censored_genus;censored_species;;censored_origin
294;1265;censored_genus;censored_species;0.0;censored_origin
295;1266;censored_genus;censored_species;;censored_origin
296;1267;censored_genus;censored_species;0.0;censored_origin
297;1268;censored_genus;censored_species;0.0;censored_origin
298;1269;censored_genus;censored_species;0.0;censored_origin
299;127;censored_genus;censored_species;0.0;censored_origin
300;1270;censored_genus;censored_species;0.0;censored_origin
301;1271;censored_genus;censored_species;1.0;censored_origin
302;1272;censored_genus;censored_species;0.0;censored_origin
303;1273;censored_genus;censored_species;0.0;censored_origin
304;1274;censored_genus;censored_species;0.0;censored_origin
305;1275;censored_genus;censored_species;0.0;censored_origin
306;1276;censored_genus;censored_species;;censored_origin
307;1277;censored_genus;censored_species;0.0;censored_origin
308;1278;censored_genus;censored_species;1.0;censored_origin
309;1279;censored_genus;censored_species;1.0;censored_origin
310;128;censored_genus;censored_species;1.0;censored_origin
311;1280;censored_genus;censored_species;;censored_origin
312;1281;censored_genus;censored_species;;censored_origin
313;1282;censored_genus;censored_species;0.0;censored_origin
314;1283;censored_genus;censored_species;;censored_origin
315;1284;censored_genus;censored_species;0.0;censored_origin
316;1285;censored_genus;censored_species;0.0;censored_origin
317;1286;censored_genus;censored_species;0.0;censored_origin
318;1287;censored_genus;censored_species;0.0;censored_origin
319;1288;censored_genus;censored_species;0.0;censored_origin
320;1289;censored_genus;censored_species;0.0;censored_origin
321;129;censored_genus;censored_species;0.0;censored_origin
322;1290;censored_genus;censored_species;;censored_origin
323;1291;censored_genus;censored_species;;censored_origin
324;1292;censored_genus;censored_species;0.0;censored_origin
325;1293;censored_genus;censored_species;;censored_origin
326;1294;censored_genus;censored_species;0.0;censored_origin
327;1295;censored_genus;censored_species;0.0;censored_origin
328;1296;censored_genus;censored_species;;censored_origin
329;1297;censored_genus;censored_species;0.0;censored_origin
330;1298;censored_genus;censored_species;0.0;censored_origin
331;1299;censored_genus;censored_species;1.0;censored_origin
332;13;censored_genus;censored_species;0.0;censored_origin
333;130;censored_genus;censored_species;0.0;censored_origin
334;1300;censored_genus;censored_species;0.0;censored_origin
335;1301;censored_genus;censored_species;;censored_origin
336;1302;censored_genus;censored_species;;censored_origin
337;1303;censored_genus;censored_species;0.0;censored_origin
338;1304;censored_genus;censored_species;0.0;censored_origin
339;1305;censored_genus;censored_species;;censored_origin
340;1306;censored_genus;censored_species;0.0;censored_origin
341;1307;censored_genus;censored_species;1.0;censored_origin
342;1308;censored_genus;censored_species;0.0;censored_origin
343;1309;censored_genus;censored_species;0.0;censored_origin
344;131;censored_genus;censored_species;1.0;censored_origin
345;1310;censored_genus;censored_species;0.0;censored_origin
346;1311;censored_genus;censored_species;;censored_origin
347;1312;censored_genus;censored_species;;censored_origin
348;1313;censored_genus;censored_species;0.0;censored_origin
349;1314;censored_genus;censored_species;;censored_origin
350;1315;censored_genus;censored_species;0.0;censored_origin
351;1316;censored_genus;censored_species;;censored_origin
352;1317;censored_genus;censored_species;0.0;censored_origin
353;1318;censored_genus;censored_species;0.0;censored_origin
354;1319;censored_genus;censored_species;;censored_origin
355;132;censored_genus;censored_species;0.0;censored_origin
356;1320;censored_genus;censored_species;0.0;censored_origin
357;1321;censored_genus;censored_species;0.0;censored_origin
358;1322;censored_genus;censored_species;;censored_origin
359;1323;censored_genus;censored_species;0.0;censored_origin
360;1324;censored_genus;censored_species;;censored_origin
361;1325;censored_genus;censored_species;;censored_origin
362;1326;censored_genus;censored_species;0.0;censored_origin
363;1327;censored_genus;censored_species;0.0;censored_origin
364;1328;censored_genus;censored_species;0.0;censored_origin
365;1329;censored_genus;censored_species;1.0;censored_origin
366;133;censored_genus;censored_species;1.0;censored_origin
367;1330;censored_genus;censored_species;0.0;censored_origin
368;1331;censored_genus;censored_species;0.0;censored_origin
369;1332;censored_genus;censored_species;0.0;censored_origin
370;1333;censored_genus;censored_species;;censored_origin
371;1334;censored_genus;censored_species;;censored_origin
372;1335;censored_genus;censored_species;0.0;censored_origin
373;1336;censored_genus;censored_species;0.0;censored_origin
374;1337;censored_genus;censored_species;0.0;censored_origin
375;1338;censored_genus;censored_species;0.0;censored_origin
376;1339;censored_genus;censored_species;;censored_origin
377;134;censored_genus;censored_species;0.0;censored_origin
378;1340;censored_genus;censored_species;;censored_origin
379;1341;censored_genus;censored_species;0.0;censored_origin
380;1342;censored_genus;censored_species;;censored_origin
381;1343;censored_genus;censored_species;;censored_origin
382;1344;censored_genus;censored_species;1.0;censored_origin
383;1345;censored_genus;censored_species;1.0;censored_origin
384;1346;censored_genus;censored_species;0.0;censored_origin
385;1347;censored_genus;censored_species;;censored_origin
386;1348;censored_genus;censored_species;0.0;censored_origin
387;1349;censored_genus;censored_species;0.0;censored_origin
388;135;censored_genus;censored_species;0.0;censored_origin
389;1350;censored_genus;censored_species;;censored_origin
390;1351;censored_genus;censored_species;0.0;censored_origin
391;1352;censored_genus;censored_species;;censored_origin
392;1353;censored_genus;censored_species;;censored_origin
393;1354;censored_genus;censored_species;0.0;censored_origin
394;1355;censored_genus;censored_species;1.0;censored_origin
395;1356;censored_genus;censored_species;0.0;censored_origin
396;1357;censored_genus;censored_species;;censored_origin
397;1358;censored_genus;censored_species;;censored_origin
398;1359;censored_genus;censored_species;;censored_origin
399;136;censored_genus;censored_species;1.0;censored_origin
400;1360;censored_genus;censored_species;0.0;censored_origin
401;1361;censored_genus;censored_species;0.0;censored_origin
402;1362;censored_genus;censored_species;1.0;censored_origin
403;1363;censored_genus;censored_species;;censored_origin
404;1364;censored_genus;censored_species;0.0;censored_origin
405;1365;censored_genus;censored_species;1.0;censored_origin
406;1366;censored_genus;censored_species;;censored_origin
407;1367;censored_genus;censored_species;;censored_origin
408;1368;censored_genus;censored_species;0.0;censored_origin
409;1369;censored_genus;censored_species;0.0;censored_origin
410;137;censored_genus;censored_species;0.0;censored_origin
411;1370;censored_genus;censored_species;0.0;censored_origin
412;1371;censored_genus;censored_species;0.0;censored_origin
413;1372;censored_genus;censored_species;;censored_origin
414;1373;censored_genus;censored_species;0.0;censored_origin
415;1374;censored_genus;censored_species;0.0;censored_origin
416;1375;censored_genus;censored_species;1.0;censored_origin
417;1376;censored_genus;censored_species;;censored_origin
418;1377;censored_genus;censored_species;;censored_origin
419;1378;censored_genus;censored_species;;censored_origin
420;1379;censored_genus;censored_species;0.0;censored_origin
421;138;censored_genus;censored_species;1.0;censored_origin
422;1380;censored_genus;censored_species;0.0;censored_origin
423;1381;censored_genus;censored_species;0.0;censored_origin
424;1382;censored_genus;censored_species;1.0;censored_origin
425;1383;censored_genus;censored_species;;censored_origin
426;1384;censored_genus;censored_species;0.0;censored_origin
427;1385;censored_genus;censored_species;;censored_origin
428;1386;censored_genus;censored_species;1.0;censored_origin
429;1387;censored_genus;censored_species;0.0;censored_origin
430;1388;censored_genus;censored_species;;censored_origin
431;1389;censored_genus;censored_species;0.0;censored_origin
432;139;censored_genus;censored_species;;censored_origin
433;1390;censored_genus;censored_species;0.0;censored_origin
434;1391;censored_genus;censored_species;;censored_origin
435;1392;censored_genus;censored_species;0.0;censored_origin
436;1393;censored_genus;censored_species;1.0;censored_origin
437;1394;censored_genus;censored_species;1.0;censored_origin
438;1395;censored_genus;censored_species;0.0;censored_origin
439;1396;censored_genus;censored_species;;censored_origin
440;1397;censored_genus;censored_species;;censored_origin
441;1398;censored_genus;censored_species;0.0;censored_origin
442;1399;censored_genus;censored_species;;censored_origin
443;14;censored_genus;censored_species;1.0;censored_origin
444;140;censored_genus;censored_species;0.0;censored_origin
445;1400;censored_genus;censored_species;;censored_origin
446;1401;censored_genus;censored_species;1.0;censored_origin
447;1402;censored_genus;censored_species;0.0;censored_origin
448;1403;censored_genus;censored_species;1.0;censored_origin
449;1404;censored_genus;censored_species;0.0;censored_origin
450;1405;censored_genus;censored_species;;censored_origin
451;1406;censored_genus;censored_species;;censored_origin
452;1407;censored_genus;censored_species;1.0;censored_origin
453;1408;censored_genus;censored_species;0.0;censored_origin
454;1409;censored_genus;censored_species;;censored_origin
455;141;censored_genus;censored_species;1.0;censored_origin
456;1410;censored_genus;censored_species;;censored_origin
457;1411;censored_genus;censored_species;0.0;censored_origin
458;1412;censored_genus;censored_species;0.0;censored_origin
459;1413;censored_genus;censored_species;0.0;censored_origin
460;1414;censored_genus;censored_species;1.0;censored_origin
461;1415;censored_genus;censored_species;;censored_origin
462;1416;censored_genus;censored_species;;censored_origin
463;1417;censored_genus;censored_species;1.0;censored_origin
464;1418;censored_genus;censored_species;;censored_origin
465;1419;censored_genus;censored_species;;censored_origin
466;142;censored_genus;censored_species;;censored_origin
467;1420;censored_genus;censored_species;0.0;censored_origin
468;1421;censored_genus;censored_species;1.0;censored_origin
469;1422;censored_genus;censored_species;;censored_origin
470;1423;censored_genus;censored_species;;censored_origin
471;1424;censored_genus;censored_species;;censored_origin
472;1425;censored_genus;censored_species;0.0;censored_origin
473;1426;censored_genus;censored_species;0.0;censored_origin
474;1427;censored_genus;censored_species;;censored_origin
475;1428;censored_genus;censored_species;1.0;censored_origin
476;1429;censored_genus;censored_species;;censored_origin
477;143;censored_genus;censored_species;0.0;censored_origin
478;1430;censored_genus;censored_species;;censored_origin
479;1431;censored_genus;censored_species;1.0;censored_origin
480;1432;censored_genus;censored_species;1.0;censored_origin
481;1433;censored_genus;censored_species;0.0;censored_origin
482;1434;censored_genus;censored_species;;censored_origin
483;1435;censored_genus;censored_species;1.0;censored_origin
484;1436;censored_genus;censored_species;1.0;censored_origin
485;1437;censored_genus;censored_species;;censored_origin
486;1438;censored_genus;censored_species;0.0;censored_origin
487;1439;censored_genus;censored_species;0.0;censored_origin
488;144;censored_genus;censored_species;1.0;censored_origin
489;1440;censored_genus;censored_species;0.0;censored_origin
490;1441;censored_genus;censored_species;1.0;censored_origin
491;1442;censored_genus;censored_species;0.0;censored_origin
492;1443;censored_genus;censored_species;;censored_origin
493;1444;censored_genus;censored_species;1.0;censored_origin
494;1445;censored_genus;censored_species;;censored_origin
495;1446;censored_genus;censored_species;1.0;censored_origin
496;1447;censored_genus;censored_species;;censored_origin
497;1448;censored_genus;censored_species;;censored_origin
498;1449;censored_genus;censored_species;0.0;censored_origin
499;145;censored_genus;censored_species;0.0;censored_origin
500;1450;censored_genus;censored_species;1.0;censored_origin
501;1451;censored_genus;censored_species;;censored_origin
502;1452;censored_genus;censored_species;1.0;censored_origin
503;1453;censored_genus;censored_species;;censored_origin
504;1454;censored_genus;censored_species;0.0;censored_origin
505;1455;censored_genus;censored_species;0.0;censored_origin
